,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
158,44,641995,Roel Ramírez,44,2289.0,89.0,89.53,6.55,8.3,3,25.0,6.07,-1.38,53.9,0
159,3556,664747,Alexis Díaz,3577,2632.0,91.5,93.97,7.61,27.7,108,12.6,4.71,-2.16,13.3,0
160,16,608654,Johnny Field,18,1892.0,72.6,70.09,4.65,0.0,1,25.0,5.76,-1.92,,0
161,145,448167,Brandon Mann,145,2315.0,87.6,86.86,5.85,8.3,4,11.1,5.91,1.64,,0
162,62,491696,Jesús Sucre,63,1706.0,76.4,74.24,4.92,0.0,2,11.8,5.96,-2.04,,0
163,9784,641540,Dane Dunning,9785,2080.0,86.3,86.88,6.7,21.0,218,8.5,5.5,-2.34,36.2,0
164,104,666208,Alex Speas,104,2649.0,92.5,92.63,6.38,31.6,5,26.3,6.14,-1.68,39.0,0
165,14,680430,Nick Allgeyer,14,2272.0,85.7,84.83,5.71,0.0,0,0.0,5.38,1.51,,0
166,44,686676,Korey Lee,44,1660.0,74.4,73.24,5.45,0.0,2,14.3,6.41,-1.02,47.4,0
167,165,665019,Kody Clemens,165,1270.0,54.6,52.48,4.16,3.3,5,8.3,7.1,-1.38,51.3,0
168,6622,501381,Michael Pineda,6724,1971.0,88.4,88.29,6.26,20.8,83,4.7,6.48,-2.33,38.5,0
169,8,571875,Jake Lamb,8,1580.0,56.6,54.98,4.86,0.0,0,0.0,6.25,-1.46,30.4,0
170,26,650907,René Pinto,26,1570.0,60.8,58.56,4.48,0.0,0,0.0,7.12,-1.26,60.1,0
171,2128,695418,Brad Lord,2128,2299.0,91.6,90.42,5.61,19.8,43,7.9,5.36,-2.46,19.5,0
172,838,501992,Nate Karns,840,2241.0,88.5,89.14,6.7,26.5,15,7.1,5.88,-1.67,,0
173,5,595943,Phillip Evans,5,2120.0,78.7,76.88,4.88,0.0,0,0.0,5.71,-2.81,26.6,0
174,7270,608032,Carlos Estévez,7270,2157.0,94.0,94.08,6.25,23.9,136,7.5,5.85,-2.01,39.1,0
