,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
918,159,547007,Rob Whalen,159,2351.0,85.6,85.13,5.95,4.4,3,6.7,5.71,-1.62,,0
919,610,691799,Grant Taylor,610,2481.0,94.6,96.55,7.35,34.6,14,9.0,5.85,-0.66,57.9,0
920,679,621289,Jaime Schultz,679,2413.0,92.4,90.99,5.51,25.9,20,13.6,5.9,-1.55,,0
921,2685,680732,Sean Burke,2685,2484.0,88.6,89.69,7.03,23.1,69,10.3,6.23,-2.4,42.2,0
922,2276,592473,Adam Kolarek,2277,2149.0,86.7,86.5,6.3,16.1,36,5.7,4.06,3.02,-6.3,0
923,87,607468,Alex Blandino,87,1872.0,83.8,83.26,5.95,13.6,4,18.2,5.98,-1.92,40.8,0
924,6455,621237,José Alvarado,6458,2146.0,96.2,96.79,6.69,29.9,176,11.2,6.57,0.96,59.8,0
925,757,669214,Conner Menez,759,2202.0,87.0,87.63,6.58,24.5,20,10.9,5.93,3.23,46.7,0
926,35,622761,Jorge Mateo,35,1247.0,65.6,63.34,4.43,0.0,2,18.2,6.61,-1.13,38.2,0
927,683,641682,Ryan Hendrix,683,2302.0,90.4,89.97,5.97,24.9,19,10.7,6.25,-1.36,43.0,0
928,5388,517008,Alex Colomé,5389,2135.0,91.5,91.12,6.06,20.8,109,7.7,6.32,-1.33,55.8,0
929,5155,433587,Félix Hernández,5163,2092.0,85.4,85.18,6.12,18.9,109,7.9,5.95,-2.29,,0
930,920,687396,Brent Headrick,920,2131.0,87.9,88.46,6.74,29.4,18,8.1,6.26,1.66,37.8,0
931,12,621005,Tim Lopes,12,1092.0,53.1,50.81,4.03,0.0,1,16.7,6.68,-1.35,52.2,0
932,4520,592644,Adam Plutko,4522,2332.0,87.6,86.98,5.85,17.1,79,6.8,6.12,-1.67,47.0,0
933,202,543424,John Lamb,202,2091.0,83.8,84.2,6.49,22.4,3,6.1,5.81,2.62,,0
934,463,656981,Peter Solomon,463,2175.0,88.2,88.1,6.22,13.1,19,15.6,6.35,-1.51,52.7,0
935,239,702056,Trey Yesavage,239,2070.0,90.2,90.1,6.16,25.8,7,11.3,7.09,-0.51,63.2,0
936,5188,544727,Jeurys Familia,5190,2189.0,93.8,92.87,5.71,23.9,152,11.5,6.27,-1.5,39.0,0
937,2500,476454,Dellin Betances,2511,2518.0,90.8,90.54,6.18,38.3,80,13.4,6.15,-1.45,30.8,0
938,277,805299,Brandyn Garcia,277,2424.0,92.1,90.85,5.53,21.2,8,12.1,5.44,1.74,14.9,0
939,592,624427,Stephen Gonsalves,592,2131.0,86.1,86.82,6.75,14.3,24,17.1,6.02,2.64,47.3,0
940,8871,434671,Aníbal Sánchez,8878,2037.0,86.0,86.05,6.18,20.5,165,7.3,5.89,-0.2,48.3,0
941,2125,657610,Trevor Hildenberger,2166,1889.0,82.7,81.81,5.79,22.7,31,5.4,4.61,-3.59,5.1,0
942,405,815083,Mitch Farris,405,1977.0,84.9,85.32,6.49,22.4,11,10.3,6.03,1.03,43.9,0
943,1772,534910,Jesse Hahn,1775,2420.0,89.0,88.66,6.22,19.5,46,10.3,6.3,-1.7,36.3,0
944,3796,640462,A.J. Puk,3796,2231.0,91.6,92.75,7.08,29.6,70,7.3,5.53,3.27,26.9,1
945,681,667376,Miguel Sánchez,681,1902.0,90.3,90.41,6.23,18.4,18,10.3,5.85,-1.42,35.6,0
946,1088,452027,Andrew Albers,1088,2027.0,84.0,83.25,5.89,18.5,18,6.8,5.97,2.25,47.4,0
947,1356,656578,Andre Jackson,1356,2076.0,89.7,90.21,6.58,21.8,32,9.2,5.99,-1.65,54.0,0
948,1418,676508,Ben Casparius,1418,2786.0,89.5,88.76,5.79,22.4,25,6.8,6.17,-0.81,46.0,0
949,540,606478,Pedro Araújo,541,2163.0,88.5,87.98,6.05,21.8,19,14.3,5.97,-1.55,,0
950,92,676766,Nick Snyder,92,2391.0,94.7,94.26,6.01,4.5,6,27.3,5.77,-1.96,48.3,0
951,297,680702,Joey Gerber,297,2229.0,90.3,90.47,6.43,13.0,5,6.5,5.08,-2.79,30.0,0
952,1563,681869,Shawn Dubin,1563,2377.0,89.7,89.72,6.48,22.3,40,10.2,5.78,-1.95,38.5,0
953,410,701656,Logan Henderson,410,2406.0,87.8,87.15,6.06,33.3,8,8.1,5.22,-1.4,32.7,1
954,167,542194,Christian Bethancourt,168,1911.0,84.5,84.14,6.18,6.3,9,18.8,5.7,-1.8,43.5,0
955,45,622703,Ronald Herrera,45,2027.0,87.0,87.93,6.77,21.4,1,7.1,5.05,-2.03,,0
956,14,435522,Neil Walker,14,1954.0,77.2,76.22,5.5,0.0,1,33.3,6.18,-2.42,37.4,0
957,92,676766,Nick Snyder,92,2391.0,94.7,94.26,6.01,4.5,6,27.3,5.77,-1.96,48.3,0
958,2072,664948,Anthony Misiewicz,2072,2480.0,87.7,87.17,5.92,22.9,37,7.1,5.91,0.71,48.7,0
959,22,571577,Scott Copeland,22,2003.0,84.4,84.57,6.38,40.0,0,0.0,5.41,-2.73,,0
960,8,607387,Ryan Rua,8,1959.0,86.6,84.83,4.94,33.3,0,0.0,6.55,-1.39,,0
961,16888,656427,Jack Flaherty,16969,2287.0,87.8,88.54,6.66,27.5,340,8.3,5.36,-2.56,29.4,0
962,1508,608335,Kyle Funkhouser,1508,2168.0,92.3,92.98,6.58,19.8,49,12.9,5.66,-1.55,34.6,0
963,127,595978,Austin Hedges,127,1677.0,64.8,63.63,5.25,5.3,2,5.3,5.73,-3.0,20.2,0
964,13260,669302,Logan Gilbert,13260,1959.0,90.1,92.05,7.43,26.2,175,5.2,5.98,-1.23,47.1,0
965,3443,605194,Jharel Cotton,3455,2284.0,86.8,84.82,5.07,19.8,86,9.8,6.25,-1.43,51.8,0
966,600,695445,Chase Lee,600,2565.0,85.7,85.03,5.88,24.5,8,5.4,3.75,-2.7,-4.1,0
967,4766,684007,Shota Imanaga,4766,2046.0,86.7,86.54,6.27,23.1,54,4.3,5.42,2.57,37.9,0
968,392,666364,Jordan Balazovic,392,2020.0,89.6,89.87,6.37,15.7,12,11.1,6.0,-2.29,52.4,0
969,1074,675848,Juan Mejia,1074,2666.0,92.2,92.32,6.12,26.2,24,9.2,5.97,-1.3,37.7,0
970,763,681882,Colin Selby,763,2432.0,91.1,91.57,6.57,24.4,20,10.0,5.8,-1.38,49.1,0
971,676,669020,Ryan Rolison,676,2445.0,87.0,87.65,6.47,13.0,20,10.4,5.94,2.01,46.2,0
972,914,491703,Neftalí Feliz,914,2333.0,92.5,92.03,6.0,18.8,22,10.3,5.89,-1.94,36.3,0
973,36,680983,Kelvin Cáceres,36,2315.0,89.7,88.29,5.55,12.5,2,25.0,5.44,-1.46,25.9,0
974,21,594951,Ryan O'Rourke,21,2231.0,85.4,84.62,5.72,16.7,3,50.0,6.18,0.81,,0
975,1579,664045,Thomas Eshelman,1579,1766.0,81.9,81.99,6.26,11.3,30,6.9,5.67,-1.05,45.6,0
976,84,656755,Bryce Montes de Oca,84,2241.0,94.5,95.91,7.09,31.6,2,10.5,5.43,-1.43,27.5,0
977,5676,608371,Lucas Sims,5677,2733.0,88.1,86.94,5.56,26.6,167,12.1,5.58,-1.72,36.7,0
978,4566,669358,Shane Baz,4566,2440.0,91.2,91.35,6.45,24.5,103,8.6,5.79,-1.48,37.3,0
979,17,502210,Josh Reddick,17,1259.0,64.1,62.88,5.06,0.0,1,20.0,7.1,-1.1,64.5,0
980,14293,605200,Zach Davies,14315,2072.0,85.0,84.51,6.0,17.2,303,8.3,5.54,-1.88,37.7,0
981,41,670042,Luke Raley,41,1208.0,53.1,51.94,5.27,5.3,0,0.0,6.96,-1.15,54.3,0
982,71,691769,Philip Abner,71,2381.0,87.4,87.69,6.45,27.8,3,16.7,5.63,2.69,40.5,0
983,968,674444,Steven Cruz,968,2206.0,94.9,95.79,6.83,21.3,28,10.4,5.54,-3.17,31.7,0
984,11,446481,Sean Rodríguez,11,2114.0,84.8,84.22,5.6,25.0,0,0.0,6.0,-1.24,,0
985,5443,630023,Yonny Chirinos,5447,2043.0,90.3,90.13,6.19,19.0,94,6.3,6.65,-0.49,45.7,0
986,613,681006,Josh Simpson,613,2376.0,87.0,86.36,5.94,24.2,20,13.4,5.16,1.41,25.1,0
987,74,642657,Cristofer Ogando,74,2356.0,87.4,87.02,6.08,11.8,1,5.9,5.76,-2.34,30.4,0
988,2497,605156,Aaron Brooks,2498,2071.0,88.6,87.96,5.9,15.6,46,7.0,6.32,-2.31,39.6,0
989,31,591741,José Osuna,31,1927.0,87.7,87.31,5.91,0.0,0,0.0,5.76,-1.51,,0
990,544,701487,Pierson Ohl,544,2188.0,86.1,86.12,6.27,20.3,7,5.3,5.95,-1.04,47.4,0
991,139,656820,Nicholas Padilla,139,2362.0,88.1,87.85,6.03,21.9,3,9.4,5.74,-1.06,43.2,0
992,76,571974,John Ryan Murphy,78,1585.0,62.7,60.1,3.97,0.0,3,12.0,6.71,-1.48,40.0,0
993,3851,663947,Tyler Holton,3852,2214.0,87.1,87.65,6.55,21.5,51,5.0,5.88,1.44,43.9,0
994,90,543357,Jordan Jankowski,90,2256.0,87.4,86.75,5.84,22.7,2,9.1,5.95,-1.76,,0
995,649,681432,Luke Little,649,2270.0,91.2,92.78,7.24,28.8,27,17.6,5.48,3.12,25.3,0
996,319,607320,Ryan Merritt,320,1741.0,82.6,82.11,5.9,7.9,4,4.5,5.35,2.12,,0
997,3008,656412,Alex Faedo,3008,2366.0,88.6,88.08,5.96,20.9,73,9.7,6.21,-2.19,36.2,0
998,576,663770,Demarcus Evans,576,2439.0,88.2,88.25,6.28,27.6,16,11.9,6.91,-0.78,65.4,0
999,5443,630023,Yonny Chirinos,5447,2043.0,90.3,90.13,6.19,19.0,94,6.3,6.65,-0.49,45.7,0
